agent_move,rival_move,result
1,0,Victory
1,1,Tie
0,2,Victory
1,0,Victory
2,1,Victory
2,2,Tie
0,0,Tie
2,1,Victory
0,2,Victory
2,0,Defeat
1,1,Tie
0,2,Victory
1,0,Victory
0,1,Defeat
0,2,Victory
2,0,Defeat
2,1,Victory
2,2,Tie
2,0,Defeat
0,1,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
2,0,Defeat
0,1,Defeat
0,2,Victory
2,0,Defeat
0,1,Defeat
0,2,Victory
1,0,Victory
2,1,Victory
2,2,Tie
0,0,Tie
1,1,Tie
0,2,Victory
1,0,Victory
2,1,Victory
0,2,Victory
1,0,Victory
1,1,Tie
1,2,Defeat
0,0,Tie
1,1,Tie
1,2,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
1,0,Victory
1,1,Tie
2,2,Tie
1,0,Victory
2,1,Victory
1,2,Defeat
1,0,Victory
0,1,Defeat
2,2,Tie
2,0,Defeat
1,1,Tie
1,2,Defeat
1,0,Victory
1,1,Tie
1,2,Defeat
1,0,Victory
0,1,Defeat
0,2,Victory
2,0,Defeat
2,1,Victory
0,2,Victory
0,0,Tie
1,1,Tie
0,2,Victory
2,0,Defeat
2,1,Victory
2,2,Tie
0,0,Tie
0,1,Defeat
2,2,Tie
1,0,Victory
1,1,Tie
0,2,Victory
2,0,Defeat
0,1,Defeat
2,2,Tie
2,0,Defeat
2,1,Victory
0,2,Victory
0,0,Tie
0,1,Defeat
1,2,Defeat
1,0,Victory
1,1,Tie
2,2,Tie
2,0,Defeat
2,1,Victory
1,2,Defeat
1,0,Victory
0,1,Defeat
2,2,Tie
1,0,Victory
2,1,Victory
0,2,Victory
0,0,Tie
0,1,Defeat
2,2,Tie
2,0,Defeat
2,1,Victory
1,2,Defeat
0,0,Tie
0,1,Defeat
2,2,Tie
2,0,Defeat
0,1,Defeat
0,2,Victory
2,0,Defeat
2,1,Victory
1,2,Defeat
0,0,Tie
1,1,Tie
2,2,Tie
0,0,Tie
2,1,Victory
2,2,Tie
2,0,Defeat
1,1,Tie
2,2,Tie
0,0,Tie
0,1,Defeat
1,2,Defeat
2,0,Defeat
2,1,Victory
1,2,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
0,0,Tie
0,1,Defeat
2,2,Tie
2,0,Defeat
1,1,Tie
0,2,Victory
0,0,Tie
0,1,Defeat
1,2,Defeat
1,0,Victory
0,1,Defeat
1,2,Defeat
2,0,Defeat
2,1,Victory
0,2,Victory
1,0,Victory
1,1,Tie
2,2,Tie
2,0,Defeat
0,1,Defeat
0,2,Victory
2,0,Defeat
0,1,Defeat
1,2,Defeat
0,0,Tie
1,1,Tie
1,2,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
2,0,Defeat
1,1,Tie
2,2,Tie
1,0,Victory
1,1,Tie
2,2,Tie
0,0,Tie
0,1,Defeat
1,2,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
0,0,Tie
1,1,Tie
1,2,Defeat
1,0,Victory
0,1,Defeat
1,2,Defeat
2,0,Defeat
1,1,Tie
2,2,Tie
2,0,Defeat
0,1,Defeat
2,2,Tie
1,0,Victory
1,1,Tie
1,2,Defeat
0,0,Tie
0,1,Defeat
0,2,Victory
1,0,Victory
2,1,Victory
1,2,Defeat
1,0,Victory
0,1,Defeat
1,2,Defeat
0,0,Tie
2,1,Victory
2,2,Tie
1,0,Victory
2,1,Victory
0,2,Victory
1,0,Victory
0,1,Defeat
1,2,Defeat
1,0,Victory
1,1,Tie
2,2,Tie
1,0,Victory
0,1,Defeat
0,2,Victory
1,0,Victory
1,1,Tie
1,2,Defeat
0,0,Tie
0,1,Defeat
